Fecha,Ingenio,Precioencuestado,Mercado,Tipo Producto
2025-01-20,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-20,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-20,Casasano,860.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-20,Casasano,860.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-20,Casasano,870.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-20,Casasano,874.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-20,Casasano,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-20,Pablo Machado,864.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-21,Atencingo,828.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-21,Atencingo,836.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-21,Atencingo,862.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-21,Atencingo,872.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-21,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-21,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-21,Casasano,860.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-21,Casasano,860.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-21,Casasano,870.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-21,Casasano,874.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-21,Casasano,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-21,Pablo Machado,864.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-22,Atencingo,820.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-22,Atencingo,836.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-22,Atencingo,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-22,Atencingo,860.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-22,Casasano,840.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-22,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-22,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-22,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-22,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-22,Casasano,860.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-22,Casasano,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-22,Pablo Machado,864.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-23,Atencingo,820.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-23,Atencingo,836.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-23,Atencingo,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-23,Atencingo,860.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-23,Casasano,840.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-23,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-23,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-23,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-23,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-23,Casasano,860.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-23,Casasano,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-23,Pablo Machado,864.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-24,Atencingo,808.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-24,Atencingo,828.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-24,Atencingo,846.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-24,Atencingo,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-24,Atencingo,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-24,Casasano,828.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-24,Casasano,836.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-24,Casasano,840.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-24,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-24,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-24,Casasano,860.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-24,Huixtla,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-27,Atencingo,816.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-27,Atencingo,830.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-27,Atencingo,840.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-27,Atencingo,844.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-27,Atencingo,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-27,Casasano,828.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-27,Casasano,830.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-27,Casasano,840.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-27,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-27,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-27,Huixtla,834.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-27,Huixtla,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-28,Atencingo,816.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-28,Atencingo,830.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-28,Atencingo,840.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-28,Atencingo,844.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-28,Atencingo,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-28,Casasano,828.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-28,Casasano,830.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-28,Casasano,840.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-28,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-28,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-28,Pablo Machado,834.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-28,Pablo Machado,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-29,Atencingo,840.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-29,Atencingo,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-29,Atencingo,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-29,Atencingo,870.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-29,Atencingo,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-29,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-29,Casasano,860.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-29,Casasano,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-29,Casasano,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-29,Casasano,896.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-29,Huixtla,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-29,Pablo Machado,940.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-30,Atencingo,840.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-30,Atencingo,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-30,Atencingo,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-30,Atencingo,870.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-30,Atencingo,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-30,Casasano,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-30,Casasano,860.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-30,Casasano,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-30,Casasano,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-30,Casasano,896.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-30,Huixtla,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-30,Pablo Machado,940.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-31,Alianza Popular,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-31,Atencingo,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-31,Atencingo,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-31,Atencingo,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-31,Atencingo,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-31,Casasano,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-31,Casasano,896.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-31,Casasano,910.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-31,Casasano,940.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-31,Huixtla,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-31,Pablo Machado,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-31,San Jose de Abajo,918.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-02,Benito Juarez,"1,070.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-02,El Potrero,"1,176.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-02,El Potrero,"1,240.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-03,Benito Juarez,"1,070.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-03,El Potrero,"1,176.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-03,El Potrero,"1,240.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-06,Benito Juarez,"1,070.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-06,El Potrero,"1,170.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-07,Benito Juarez,"1,070.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-07,El Potrero,"1,170.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-08,Benito Juarez,"1,050.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-08,El Potrero,"1,116.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-08,El Potrero,"1,170.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-09,Benito Juarez,"1,050.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-09,El Potrero,"1,116.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-09,El Potrero,"1,170.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-10,Benito Juarez,"1,050.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-10,El Potrero,"1,116.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-10,El Potrero,"1,170.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-13,Benito Juarez,"1,050.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-13,El Potrero,"1,170.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-13,El Potrero,"1,176.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-14,Benito Juarez,"1,050.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-14,El Potrero,"1,170.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-14,El Potrero,"1,176.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-15,Benito Juarez,"1,050.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-15,El Potrero,"1,170.00",DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
